Weighting Diagnostics — Summary Statistics,,,,,,
Statistic,RV Value,LV Value,Notes,,,
DEFF,1.536,1.629,"Design effect: 1.0=ideal, >2.0=concerning",,,
Kish_DEFF,1.536,1.629,Kish 1+CV²(w) approximation,,,
effective_N,581.5,548.2,n / DEFF — real statistical power,,,
n_extreme_non_responders,0,—,Respondents with propensity <0.05,,,
n_unweighted,893,893,Raw respondents used,,,
n_weighted_approx,893,893,,,,
pct_low_propensity,0,—,% respondents with propensity <0.10,,,
pct_weight_gt2,19.3,15.8,% respondents with weight >2.0,,,
pct_weight_gt3,0,0,,,,
propensity_mean,0.992,—,Avg propensity score (0.5=balanced),,,
weight_max,2.112,2.669,Largest individual weight,,,
weight_mean,1,1,,,,
weight_median,0.868,0.87,,,,
weight_min,0.006,0.003,,,,
weight_p99,2.112,2.669,,,,
,,,,,,
,,,,,,
Geographic Clustering (ICC) Analysis,,,,,,
Metric,Value,,Notes,,,
ICC,0.0215,,"Intraclass correlation; 0=no clustering, 1=perfect clustering",,,
DEFF_cluster,3.378,,DEFF from clustering alone: 1 + (m̅-1)*ICC,,,
mean_cluster_size,111.6,,Average respondents per region/cluster,,,
n_clusters,8,,Number of geographic clusters observed,,,
,,,,,,
,,,,,,
Covariate Balance After Weighting (SMD < 0.10 = balanced),,,,,,
── RV ──,,,,,,
Variable,Category,Target %,Weighted %,Diff (pp),SMD,Balanced?
AgeGender,18-29_Male,8.16,7.53,-0.63,0.023,✅
AgeGender,18-29_Female,7.84,7.31,-0.53,0.02,✅
AgeGender,30-44_Male,12,12.38,0.38,0.012,✅
AgeGender,30-44_Female,13,13.23,0.23,0.007,✅
AgeGender,45-64_Male,15.36,15.51,0.15,0.004,✅
AgeGender,45-64_Female,16.64,15.76,-0.88,0.024,✅
AgeGender,65+_Male,12.69,13.22,0.53,0.016,✅
AgeGender,65+_Female,14.31,15.08,0.77,0.022,✅
RaceEdu,White No College,38.63,34.57,-4.06,0.083,✅
RaceEdu,White College,32.37,36.25,3.88,0.083,✅
RaceEdu,Black,11,11.19,0.19,0.006,✅
RaceEdu,Hispanic,11,11.23,0.23,0.007,✅
RaceEdu,Asian / Other,7,6.75,-0.25,0.01,✅
Education4,High school or less,15,12.09,-2.91,0.081,✅
Education4,Some college/assoc. degree,42,34.55,-7.45,0.151,⚠️
Education4,College graduate,24,29.69,5.69,0.133,⚠️
Education4,Postgraduate study,19,23.66,4.66,0.119,⚠️
GenderEdu,Male_No College,26.5,23.99,-2.51,0.057,✅
GenderEdu,Male_College,21.7,24.64,2.94,0.071,✅
GenderEdu,Female_No College,24.9,22.66,-2.24,0.052,✅
GenderEdu,Female_College,26.9,28.71,1.81,0.041,✅
